456345768,6,2,Basic Science,Basic science such as understanding how cells work 
123890567,5,1,Basic Science,Basic science such as understanding how cells work 
567341213,5,3,Basic Science,Basic science such as understanding how cells work 
980765414,4,1,art,Artists books are books 
456723415,10,1,art,Artists books are books
162347809,3,7,art,Artists books are books 
134567897,2,1,java,In this book you will learn
123456798,1,3,php,The reader starts with the easy stuff 
123457689,1,4,economics,This book sets the subject out chronologically 
213456709,2,1,economics,This book sets the subject out chronologically 
